Date,AAPL,AXP,BA,DIS,LUV,MMM,MSFT,PG,RCL
2018-04-06,42.095001220703125,91.91000366210938,326.1199951171875,100.3499984741211,55.290000915527344,212.25,90.2300033569336,78.43000030517578,114.83000183105469
2018-04-09,42.51250076293945,92.13999938964844,322.4800109863281,99.69999694824219,54.849998474121094,212.80999755859375,90.7699966430664,78.16000366210938,115.12999725341797
2018-04-10,43.3125,93.0,334.8299865722656,101.37000274658203,54.130001068115234,216.97999572753906,92.87999725341797,78.37000274658203,112.91999816894531
2018-04-11,43.11000061035156,91.5999984741211,327.3599853515625,100.80000305175781,53.5,214.3300018310547,91.86000061035156,78.2699966430664,113.16000366210938
2018-04-12,43.53499984741211,93.3499984741211,337.4800109863281,100.38999938964844,54.939998626708984,216.4199981689453,93.58000183105469,77.79000091552734,114.7300033569336
2018-04-13,43.682498931884766,93.02999877929688,329.2799987792969,100.3499984741211,55.06999969482422,215.52000427246094,93.08000183105469,78.37000274658203,113.73999786376953
2018-04-16,43.95500183105469,93.5999984741211,331.7699890136719,100.23999786376953,54.88999938964844,217.6999969482422,94.16999816894531,78.61000061035156,115.70999908447266
2018-04-17,44.560001373291016,93.86000061035156,336.7200012207031,102.16999816894531,54.27000045776367,220.08999633789062,96.06999969482422,78.43000030517578,116.95999908447266
2018-04-18,44.459999084472656,95.1500015258789,341.0,101.20999908447266,55.81999969482422,219.52000427246094,96.44000244140625,78.19999694824219,118.30000305175781
2018-04-19,43.20000076293945,102.37000274658203,340.6400146484375,100.88999938964844,54.79999923706055,218.85000610351562,96.11000061035156,74.94999694824219,117.9800033569336
2018-04-20,41.43000030517578,100.79000091552734,338.6700134277344,100.23999786376953,54.77000045776367,217.75,95.0,73.80000305175781,119.08999633789062
2018-04-23,41.310001373291016,100.61000061035156,338.8399963378906,100.1500015258789,54.97999954223633,215.8800048828125,95.3499984741211,73.0,119.70999908447266
2018-04-24,40.73500061035156,100.44000244140625,329.05999755859375,99.45999908447266,53.880001068115234,201.1300048828125,93.12000274658203,72.5,117.2699966430664
2018-04-25,40.912498474121094,98.77999877929688,342.8599853515625,101.1500015258789,53.83000183105469,198.83999633789062,92.30999755859375,72.30000305175781,118.48999786376953
2018-04-26,41.05500030517578,100.2300033569336,342.7900085449219,99.83999633789062,53.29999923706055,197.08999633789062,94.26000213623047,72.75,112.93000030517578
2018-04-27,40.58000183105469,99.61000061035156,340.8800048828125,99.2300033569336,53.529998779296875,196.1199951171875,95.81999969482422,72.80999755859375,111.81999969482422
2018-04-30,41.314998626708984,98.75,333.55999755859375,100.33000183105469,52.83000183105469,194.38999938964844,93.5199966430664,72.33999633789062,108.19000244140625
2018-05-01,42.275001525878906,98.58000183105469,329.5400085449219,100.05999755859375,52.939998626708984,195.02000427246094,95.0,71.95999908447266,109.55999755859375
2018-05-02,44.14250183105469,97.62999725341797,324.19000244140625,99.62000274658203,52.209999084472656,194.5,93.51000213623047,70.94000244140625,107.19000244140625
2018-05-03,44.22249984741211,97.13999938964844,330.69000244140625,98.76000213623047,52.2400016784668,195.67999267578125,94.06999969482422,71.36000061035156,106.33999633789062
2018-05-04,45.95750045776367,98.3499984741211,334.42999267578125,101.1500015258789,52.779998779296875,199.36000061035156,95.16000366210938,72.43000030517578,107.36000061035156
2018-05-07,46.290000915527344,98.58000183105469,340.42999267578125,102.4800033569336,52.0,200.25999450683594,96.22000122070312,71.9800033569336,105.05999755859375
2018-05-08,46.51250076293945,99.73999786376953,338.3699951171875,101.79000091552734,52.33000183105469,201.74000549316406,95.80999755859375,71.44000244140625,104.06999969482422
